v1_freq,pin_sum,pout_sum,phase_avg
21000000000.0,3.151102768192569e-23,1.2403031081411289e-23,-3.1495291503504776
22000000000.0,2.878956274184489e-23,1.1268813968661983e-23,-3.149529280912972
23000000000.0,2.6389713212918218e-23,1.0267924697423593e-23,-3.1495292160484314
24000000000.0,2.4263329577072256e-23,9.38037548921882e-24,-3.1495292089745983
25000000000.0,2.2370788511760108e-23,8.589718552138863e-24,-3.1495292434111426
26000000000.0,2.0679272890203926e-23,7.882333091850926e-24,-3.1495292404788318
27000000000.0,1.916144442580665e-23,7.246871565614328e-24,-3.1495292142768254
28000000000.0,1.7794384083452947e-23,6.673826065693273e-24,-3.1495292302764066
29000000000.0,1.6558786708278822e-23,6.155187199461374e-24,-3.149529292194578
30000000000.0,1.5438299830145268e-23,5.684173182706071e-24,-3.149529085117103
31000000000.0,1.441900701457149e-23,5.2550159217308934e-24,-3.1495292179240253
32000000000.0,1.3489008812805104e-23,4.862785128572666e-24,-3.1495292546620814
33000000000.0,1.2638087159946704e-23,4.503250791911806e-24,-3.1495292373038963
34000000000.0,1.185743142156551e-23,4.1727690572122564e-24,-3.1495291684465343
35000000000.0,1.1139415281796667e-23,3.8681899818987345e-24,-3.149529203332516
36000000000.0,1.0477413124652224e-23,3.5867810808884895e-24,-3.1495291552133233
37000000000.0,9.86564961743794e-24,3.326165632882174e-24,-3.14952912621206
38000000000.0,9.299074301124031e-24,3.0842705267370776e-24,-3.1495291345536116
39000000000.0,8.773257626949516e-24,2.8592834048780085e-24,-3.1495291986937604
40000000000.0,8.284303929335161e-24,2.649616658022695e-24,-3.149529210176567
41000000000.0,7.828778805435597e-24,2.453877749586355e-24,-3.14952926159639
42000000000.0,7.403647323839445e-24,2.270843442548983e-24,-3.1495291725057535
43000000000.0,7.006222740989718e-24,2.099439181209412e-24,-3.14952924547774
44000000000.0,6.634121554869334e-24,1.9387199211429285e-24,-3.1495291291295904
45000000000.0,6.28522718535144e-24,1.787855965168208e-24,-3.1495292697361146
46000000000.0,5.957656524776696e-24,1.6461183139276853e-24,-3.149529239821021
47000000000.0,5.649733620503959e-24,1.5128684594969869e-24,-3.149529213333013
48000000000.0,5.359965267766179e-24,1.3875477979555815e-24,-3.14952916270408
49000000000.0,5.0870206621317074e-24,1.2696691579092228e-24,-3.149529199223073
50000000000.0,4.829713142060831e-24,1.1588087593315077e-24,-3.149529132789606
